編號,標題,價格,商品網址,圖片網址
26,《三民》輕鬆上手！日語五十音習字帖（二版）/三民日語編輯小組【三民網路書店】,140,https://shopee.tw//《三民》輕鬆上手！日語五十音習字帖（二版）-三民日語編輯小組【三民網路書店】-i.42458033.9183397090?sp_atk=b4e01fb0-06a3-4f49-9b1b-84f7583bc7af&xptdk=b4e01fb0-06a3-4f49-9b1b-84f7583bc7af,https://down-tw.img.susercontent.com/file/sg-11134201-7rbn5-lobco1y5e2xd14_tn
27,《三民》公司法要義(精裝)/許忠信【三民網路書店】,850,https://shopee.tw//《三民》公司法要義(精裝)-許忠信【三民網路書店】-i.42458033.16628427133?sp_atk=3d59f275-3c09-425a-828c-8cb590a80c7e&xptdk=3d59f275-3c09-425a-828c-8cb590a80c7e,https://down-tw.img.susercontent.com/file/sg-11134201-7rbnd-lod0oyhje3hm02_tn
28,《三民》新譯王維詩文集（上／下）/陳鐵民-注譯【三民網路書店】,810,https://shopee.tw//《三民》新譯王維詩文集（上／下）-陳鐵民-注譯【三民網路書店】-i.42458033.23012510290?sp_atk=6f0bbd9c-cd11-43a4-8a72-4fd8099f2668&xptdk=6f0bbd9c-cd11-43a4-8a72-4fd8099f2668,https://down-tw.img.susercontent.com/file/sg-11134201-7rbmq-locre8vsj0vz3b_tn
29,《中信出版社》生而優雅：淑媛禮儀（簡體書）/何佩嶸【三民網路書店】,299,https://shopee.tw//《中信出版社》生而優雅：淑媛禮儀（簡體書）-何佩嶸【三民網路書店】-i.42458033.22454044501?sp_atk=9be5619f-cb52-4aa1-80b6-b57714a7053f&xptdk=9be5619f-cb52-4aa1-80b6-b57714a7053f,https://down-tw.img.susercontent.com/file/sg-11134201-7rblo-lo8bhydnf86rc9_tn
30,《三民》模糊的疆界：易宗唐手道創始人洪懿祥大師傳奇/洪澤漢 著【三民網路書店】,500,https://shopee.tw//《三民》模糊的疆界：易宗唐手道創始人洪懿祥大師傳奇-洪澤漢-著【三民網路書店】-i.42458033.5248702210?sp_atk=809ad97b-334c-470a-bf72-f17f006b3f78&xptdk=809ad97b-334c-470a-bf72-f17f006b3f78,https://down-tw.img.susercontent.com/file/sg-11134201-7rbml-looduawrbt8n5d_tn
31,《上海財經大學》大衰退年代：宏觀經濟學的另一半與全球化的宿命（簡體書）/辜朝明【三民網路書店】,468,https://shopee.tw//《上海財經大學》大衰退年代：宏觀經濟學的另一半與全球化的宿命（簡體書）-辜朝明【三民網路書店】-i.42458033.22003491607?sp_atk=236baedb-81e6-4ed8-9d88-39de811f5db8&xptdk=236baedb-81e6-4ed8-9d88-39de811f5db8,https://down-tw.img.susercontent.com/file/sg-11134201-7rblm-lofg0viunexod4_tn
32,《三民》核心英文字彙力2001～4500 (附100回習題本附冊)(三版)/丁雍嫻【三民網路書店】,390,https://shopee.tw//《三民》核心英文字彙力2001～4500-(附100回習題本附冊)(三版)-丁雍嫻【三民網路書店】-i.42458033.22342145867?sp_atk=1b4d0810-6968-463f-966a-3e6bbdc2ab07&xptdk=1b4d0810-6968-463f-966a-3e6bbdc2ab07,https://down-tw.img.susercontent.com/file/sg-11134201-7rbm7-loejkwkv9ept5f_tn
33,《東大》致勝關鍵：國文統測複習28週(附題本、隨身讀)(修訂八版)/吳羿【三民網路書店】,399,https://shopee.tw//《東大》致勝關鍵：國文統測複習28週(附題本、隨身讀)(修訂八版)-吳羿【三民網路書店】-i.42458033.15378671605?sp_atk=ffe613cf-7bfd-43b1-8bd0-b84b876d5a53&xptdk=ffe613cf-7bfd-43b1-8bd0-b84b876d5a53,https://down-tw.img.susercontent.com/file/sg-11134201-7rblv-lohwof2ywvun70_tn
34,《三民》疾病終結者：中國早期的道教醫學/林富士【三民網路書店】,150,https://shopee.tw//《三民》疾病終結者：中國早期的道教醫學-林富士【三民網路書店】-i.42458033.7849074786?sp_atk=c2a10c2a-9780-4004-9f6b-7a4659ea77ff&xptdk=c2a10c2a-9780-4004-9f6b-7a4659ea77ff,https://down-tw.img.susercontent.com/file/sg-11134201-7rbkm-loncju1yr7bb33_tn
35,《三民》新譯抱朴子(上)(二版)/李中華-注譯【三民網路書店】,510,https://shopee.tw//《三民》新譯抱朴子(上)(二版)-李中華-注譯【三民網路書店】-i.42458033.5349085759?sp_atk=8e3965f4-a9de-40af-979b-c61f034b9419&xptdk=8e3965f4-a9de-40af-979b-c61f034b9419,https://down-tw.img.susercontent.com/file/sg-11134201-7rbl5-lolm5g6i0twcf2_tn
